path,type,details,usage
"2_Sources/2.1_Python/main_agent.py","py","Defines the FastAPI app, CORS middleware, and includes the API router under /api.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=16 path=2_Sources/2.1_Python/main_agent.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/main_agent.py#L1-L16"}​","Run with uvicorn as main_agent:app (used in start_fastapi.sh/test_fastapi.sh).​:codex-file-citation[codex-file-citation]{line_range_start=17 line_range_end=91 path=8_Scripts/8.1_Init/service.fastapi/start_fastapi.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/service.fastapi/start_fastapi.sh#L17-L91"}​​:codex-file-citation[codex-file-citation]{line_range_start=165 line_range_end=169 path=8_Scripts/8.1_Init/test_fastapi.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/test_fastapi.sh#L165-L169"}​"
"2_Sources/2.1_Python/api/router.py","py","Registers generate/status/upload/status_web/monitor routers on the APIRouter.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=10 path=2_Sources/2.1_Python/api/router.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/router.py#L1-L10"}​","Imported by main_agent.py and included under /api.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=16 path=2_Sources/2.1_Python/main_agent.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/main_agent.py#L1-L16"}​"
"2_Sources/2.1_Python/api/dependencies.py","py","Placeholder for FastAPI dependencies.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=null path=2_Sources/2.1_Python/api/dependencies.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/dependencies.py#L1-Lnull"}​","Not used yet (placeholder comment).​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=null path=2_Sources/2.1_Python/api/dependencies.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/dependencies.py#L1-Lnull"}​"
"2_Sources/2.1_Python/api/__init__.py","py","Empty package initializer (blank content).​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=null path=2_Sources/2.1_Python/api/__init__.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/__init__.py#L1-Lnull"}​","Marks api as a Python package (no runtime logic).​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=null path=2_Sources/2.1_Python/api/__init__.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/__init__.py#L1-Lnull"}​"
"2_Sources/2.1_Python/api/endpoints/status.py","py","/status returns SQLite doc count; /health returns endpoint status.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=27 path=2_Sources/2.1_Python/api/endpoints/status.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/endpoints/status.py#L1-L27"}​","Mounted in API router under /status.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=10 path=2_Sources/2.1_Python/api/router.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/router.py#L1-L10"}​"
"2_Sources/2.1_Python/api/endpoints/fastapi_full_monitor.py","py","Standalone FastAPI app with /monitor/full health check using Chroma, SQLite, logs, and Ollama checks.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=108 path=2_Sources/2.1_Python/api/endpoints/fastapi_full_monitor.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/endpoints/fastapi_full_monitor.py#L1-L108"}​","Run as a separate FastAPI app exposing /monitor/full.​:codex-file-citation[codex-file-citation]{line_range_start=17 line_range_end=108 path=2_Sources/2.1_Python/api/endpoints/fastapi_full_monitor.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/endpoints/fastapi_full_monitor.py#L17-L108"}​"
"2_Sources/2.1_Python/api/endpoints/upload.py","py","/upload ingests a file via parse_and_store_file; includes /health endpoint.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=17 path=2_Sources/2.1_Python/api/endpoints/upload.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/endpoints/upload.py#L1-L17"}​","Mounted in API router under /upload.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=10 path=2_Sources/2.1_Python/api/router.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/router.py#L1-L10"}​"
"2_Sources/2.1_Python/api/endpoints/status.ORI.py","py","Legacy copy of status endpoint (same logic as status.py).​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=27 path=2_Sources/2.1_Python/api/endpoints/status.ORI.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/endpoints/status.ORI.py#L1-L27"}​","Not referenced by router (router imports status.py only).​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=10 path=2_Sources/2.1_Python/api/router.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/router.py#L1-L10"}​"
"2_Sources/2.1_Python/api/endpoints/status_web.py","py","HTML status page that checks health endpoints and lists Python files; includes read_file and /health endpoints.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=104 path=2_Sources/2.1_Python/api/endpoints/status_web.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/endpoints/status_web.py#L1-L104"}​","Mounted in API router under /monitor (Monitor tag).​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=10 path=2_Sources/2.1_Python/api/router.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/router.py#L1-L10"}​"
"2_Sources/2.1_Python/api/endpoints/generate.py","py","/generate endpoint calls generate_document and exposes /health.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=16 path=2_Sources/2.1_Python/api/endpoints/generate.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/endpoints/generate.py#L1-L16"}​","Mounted in API router under /generate.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=10 path=2_Sources/2.1_Python/api/router.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/router.py#L1-L10"}​"
"2_Sources/2.1_Python/api/monitor.py","py","Full monitoring endpoints for Chroma/SQLite/Ollama/logs with /full and /health routes.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=262 path=2_Sources/2.1_Python/api/monitor.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/monitor.py#L1-L262"}​","Mounted in API router under /monitor (MonitorFull tag).​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=10 path=2_Sources/2.1_Python/api/router.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/router.py#L1-L10"}​"
"2_Sources/2.1_Python/test_sentence_transformers.py","py","Loads SentenceTransformer and prints a sample embedding vector slice.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=5 path=2_Sources/2.1_Python/test_sentence_transformers.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/test_sentence_transformers.py#L1-L5"}​","Run as a standalone quick embedding sanity check.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=5 path=2_Sources/2.1_Python/test_sentence_transformers.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/test_sentence_transformers.py#L1-L5"}​"
"2_Sources/2.1_Python/test_db_huffing.py","py","Standalone ChromaDB + SentenceTransformer test inserting and querying embeddings with sample data.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=110 path=2_Sources/2.1_Python/test_db_huffing.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/test_db_huffing.py#L1-L110"}​","Run as a standalone test to validate embedding insertion/query against ChromaDB.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=110 path=2_Sources/2.1_Python/test_db_huffing.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/test_db_huffing.py#L1-L110"}​"
"2_Sources/2.1_Python/chroma_integration.py","py","ChromaDB integration: init client, ingest documents, search similar; includes __main__ example flow.​:codex-file-citation[codex-file-citation]{line_range_start=104 line_range_end=228 path=2_Sources/2.1_Python/chroma_integration.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/chroma_integration.py#L104-L228"}​","Run directly to ingest example files and execute a search query.​:codex-file-citation[codex-file-citation]{line_range_start=216 line_range_end=228 path=2_Sources/2.1_Python/chroma_integration.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/chroma_integration.py#L216-L228"}​"
"2_Sources/2.1_Python/services/generation.py","py","generate_document retrieves similar docs, calls Ollama, and writes DOCX output.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=45 path=2_Sources/2.1_Python/services/generation.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/services/generation.py#L1-L45"}​","Used by /generate endpoint via generate_document.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=13 path=2_Sources/2.1_Python/api/endpoints/generate.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/endpoints/generate.py#L1-L13"}​"
"2_Sources/2.1_Python/services/ingestion.py","py","parse_and_store_file saves upload and ingests into Chroma/SQLite via ingest_file.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=22 path=2_Sources/2.1_Python/services/ingestion.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/services/ingestion.py#L1-L22"}​","Used by /upload endpoint via parse_and_store_file.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=13 path=2_Sources/2.1_Python/api/endpoints/upload.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/endpoints/upload.py#L1-L13"}​"
"2_Sources/2.1_Python/services/vector_store.py","py","Handles Chroma/SQLite init, file loading, ingest_file, and search_similar; defines METADATA_DB and data paths.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=112 path=2_Sources/2.1_Python/services/vector_store.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/services/vector_store.py#L1-L112"}​","Used by status endpoint (METADATA_DB) and ingestion/generation for ingest/search workflows.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=23 path=2_Sources/2.1_Python/api/endpoints/status.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/endpoints/status.py#L1-L23"}​​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=20 path=2_Sources/2.1_Python/services/ingestion.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/services/ingestion.py#L1-L20"}​​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=20 path=2_Sources/2.1_Python/services/generation.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/services/generation.py#L1-L20"}​"
"2_Sources/2.1_Python/temp.py","py","Simple torch tensor multiplication test script.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=4 path=2_Sources/2.1_Python/temp.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/temp.py#L1-L4"}​","Run as a quick torch sanity check.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=4 path=2_Sources/2.1_Python/temp.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/temp.py#L1-L4"}​"
"temp.py","py","Mixed scratch file: embedding model getter, torch tensor test, SentenceTransformer encode, and env prints.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=30 path=temp.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/temp.py#L1-L30"}​","Run as a local scratchpad for embeddings/torch environment checks.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=30 path=temp.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/temp.py#L1-L30"}​"
"8_Scripts/8.1_Init/test_fastapi.sh","sh","Automated FastAPI test runner with simulate/prerequis/install/exec/force/keep options; launches uvicorn and tests endpoints with logging.​:codex-file-citation[codex-file-citation]{line_range_start=45 line_range_end=229 path=8_Scripts/8.1_Init/test_fastapi.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/test_fastapi.sh#L45-L229"}​","Run with flags like --simulate/--exec/--prerequis/--install/--force/--keep per help output.​:codex-file-citation[codex-file-citation]{line_range_start=45 line_range_end=82 path=8_Scripts/8.1_Init/test_fastapi.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/test_fastapi.sh#L45-L82"}​"
"8_Scripts/8.1_Init/init_python.sh","sh","Rewrites requirements.txt and installs dependencies via pip.​:codex-file-citation[codex-file-citation]{line_range_start=2 line_range_end=33 path=8_Scripts/8.1_Init/init_python.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/init_python.sh#L2-L33"}​","Run to (re)generate requirements.txt and install packages.​:codex-file-citation[codex-file-citation]{line_range_start=6 line_range_end=33 path=8_Scripts/8.1_Init/init_python.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/init_python.sh#L6-L33"}​"
"8_Scripts/8.1_Init/reset_ollama_service.sh","sh","Resets Ollama systemd service, updates permissions, and restarts service.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=61 path=8_Scripts/8.1_Init/reset_ollama_service.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/reset_ollama_service.sh#L1-L61"}​","Run to recreate and restart the Ollama systemd service setup.​:codex-file-citation[codex-file-citation]{line_range_start=11 line_range_end=61 path=8_Scripts/8.1_Init/reset_ollama_service.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/reset_ollama_service.sh#L11-L61"}​"
"8_Scripts/8.1_Init/fix_ollama_group_permissions.sh","sh","Adds ollama user to nox group and fixes model directory permissions; restarts service.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=41 path=8_Scripts/8.1_Init/fix_ollama_group_permissions.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/fix_ollama_group_permissions.sh#L1-L41"}​","Run to fix group membership and permissions for Ollama model access.​:codex-file-citation[codex-file-citation]{line_range_start=11 line_range_end=41 path=8_Scripts/8.1_Init/fix_ollama_group_permissions.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/fix_ollama_group_permissions.sh#L11-L41"}​"
"8_Scripts/8.1_Init/ollama-batch-download.sh","sh","Batch-downloads multiple Ollama models with storage-limit checks, logging, and dry-run support.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=269 path=8_Scripts/8.1_Init/ollama-batch-download.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/ollama-batch-download.sh#L1-L269"}​","Run with --exec/--simulate/--prerequis/--install per help instructions.​:codex-file-citation[codex-file-citation]{line_range_start=83 line_range_end=113 path=8_Scripts/8.1_Init/ollama-batch-download.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/ollama-batch-download.sh#L83-L113"}​"
"8_Scripts/8.1_Init/init_fastapi.sh","sh","Initializes FastAPI scaffold files and requirements; supports simulate/prerequis/install flags and pipenv use.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=212 path=8_Scripts/8.1_Init/init_fastapi.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/init_fastapi.sh#L1-L212"}​","Run with --exec/--simulate/--prerequis/--install per argument parsing/usage text.​:codex-file-citation[codex-file-citation]{line_range_start=19 line_range_end=33 path=8_Scripts/8.1_Init/init_fastapi.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/init_fastapi.sh#L19-L33"}​"
"8_Scripts/8.1_Init/init_project.sh","sh","Bootstraps project structure, docs, logs, .gitignore, and permanent memory file.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=267 path=8_Scripts/8.1_Init/init_project.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/init_project.sh#L1-L267"}​","Run with --exec (default) or --simulate to initialize the project tree.​:codex-file-citation[codex-file-citation]{line_range_start=272 line_range_end=283 path=8_Scripts/8.1_Init/init_project.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/init_project.sh#L272-L283"}​"
"8_Scripts/8.1_Init/init_sqlite.sh","sh","Initializes SQLite DB with permissions, symlink, and tables; includes simulate mode.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=214 path=8_Scripts/8.1_Init/init_sqlite.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/init_sqlite.sh#L1-L214"}​","Run with --simulate or default execution to set up SQLite DB and schema.​:codex-file-citation[codex-file-citation]{line_range_start=17 line_range_end=47 path=8_Scripts/8.1_Init/init_sqlite.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/init_sqlite.sh#L17-L47"}​"
"8_Scripts/8.1_Init/config_paths.sh","sh","Configures symlinks to shared storage, updates .env, and optionally installs deps via pipenv.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=172 path=8_Scripts/8.1_Init/config_paths.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/config_paths.sh#L1-L172"}​","Run with --exec/--simulate/--prerequis/--install per help output.​:codex-file-citation[codex-file-citation]{line_range_start=37 line_range_end=55 path=8_Scripts/8.1_Init/config_paths.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/config_paths.sh#L37-L55"}​"
"8_Scripts/8.1_Init/test_sqlite.sh","sh","SQLite test script with standard/perf/perfbig/remove modes and logging.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=175 path=8_Scripts/8.1_Init/test_sqlite.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/test_sqlite.sh#L1-L175"}​","Run with --exec/--perf/--perfbig/--remove/--simulate per help output.​:codex-file-citation[codex-file-citation]{line_range_start=13 line_range_end=23 path=8_Scripts/8.1_Init/test_sqlite.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/test_sqlite.sh#L13-L23"}​"
"8_Scripts/8.1_Init/service.ollama/start_ollama.sh","sh","Start/stop/status wrapper for Ollama with PID tracking and logs.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=162 path=8_Scripts/8.1_Init/service.ollama/start_ollama.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/service.ollama/start_ollama.sh#L1-L162"}​","Run with start|stop|restart|status|update-pid arguments per usage block.​:codex-file-citation[codex-file-citation]{line_range_start=147 line_range_end=161 path=8_Scripts/8.1_Init/service.ollama/start_ollama.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/service.ollama/start_ollama.sh#L147-L161"}​"
"8_Scripts/8.1_Init/service.ollama/install_service.sh","sh","Installs systemd service for Ollama, creates run/log dirs, and enables service.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=76 path=8_Scripts/8.1_Init/service.ollama/install_service.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/service.ollama/install_service.sh#L1-L76"}​","Must be run with sudo (root check).​:codex-file-citation[codex-file-citation]{line_range_start=29 line_range_end=34 path=8_Scripts/8.1_Init/service.ollama/install_service.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/service.ollama/install_service.sh#L29-L34"}​"
"8_Scripts/8.1_Init/service.ollama/uninstall_service.sh","sh","Uninstalls Ollama systemd service and cleans PID files.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=59 path=8_Scripts/8.1_Init/service.ollama/uninstall_service.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/service.ollama/uninstall_service.sh#L1-L59"}​","Must be run with sudo (root check).​:codex-file-citation[codex-file-citation]{line_range_start=24 line_range_end=29 path=8_Scripts/8.1_Init/service.ollama/uninstall_service.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/service.ollama/uninstall_service.sh#L24-L29"}​"
"8_Scripts/8.1_Init/service.fastapi/start_fastapi.sh","sh","Start/stop/status FastAPI with SSL, PID tracking, and --reload support.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=200 path=8_Scripts/8.1_Init/service.fastapi/start_fastapi.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/service.fastapi/start_fastapi.sh#L1-L200"}​","Run with start|stop|restart|status|update-pid arguments per usage block.​:codex-file-citation[codex-file-citation]{line_range_start=185 line_range_end=200 path=8_Scripts/8.1_Init/service.fastapi/start_fastapi.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/service.fastapi/start_fastapi.sh#L185-L200"}​"
"8_Scripts/8.1_Init/service.fastapi/install_service.sh","sh","Installs systemd service for FastAPI, cleans old services, and shows setup commands.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=147 path=8_Scripts/8.1_Init/service.fastapi/install_service.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/service.fastapi/install_service.sh#L1-L147"}​","Must be run with sudo (root check).​:codex-file-citation[codex-file-citation]{line_range_start=42 line_range_end=45 path=8_Scripts/8.1_Init/service.fastapi/install_service.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/service.fastapi/install_service.sh#L42-L45"}​"
"8_Scripts/8.1_Init/service.fastapi/uninstall_service.sh","sh","Uninstalls FastAPI systemd service and cleans PID files.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=75 path=8_Scripts/8.1_Init/service.fastapi/uninstall_service.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/service.fastapi/uninstall_service.sh#L1-L75"}​","Must be run with sudo (root check).​:codex-file-citation[codex-file-citation]{line_range_start=32 line_range_end=37 path=8_Scripts/8.1_Init/service.fastapi/uninstall_service.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/service.fastapi/uninstall_service.sh#L32-L37"}​"
"8_Scripts/8.2_Utils/count_tokens.sh","sh","Counts tokens in a text file using tiktoken with logging/results and VENV usage.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=210 path=8_Scripts/8.2_Utils/count_tokens.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.2_Utils/count_tokens.sh#L1-L210"}​","Run as ./count_tokens.sh [OPTIONS] <file> [model] per usage header/help content.​:codex-file-citation[codex-file-citation]{line_range_start=11 line_range_end=21 path=8_Scripts/8.2_Utils/count_tokens.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.2_Utils/count_tokens.sh#L11-L21"}​"
"8_Scripts/8.2_Utils/md_compressor.py","py","Compresses Markdown content using Ollama with CLI flags for file/model/char range; includes help text.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=175 path=8_Scripts/8.2_Utils/md_compressor.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.2_Utils/md_compressor.py#L1-L175"}​","Run with --exec --file <path> and optional --charmin/--charmax/--model; see help examples.​:codex-file-citation[codex-file-citation]{line_range_start=37 line_range_end=69 path=8_Scripts/8.2_Utils/md_compressor.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.2_Utils/md_compressor.py#L37-L69"}​"
"check_all_web_python.sh","sh","Scratchpad text containing verification notes and embedded code snippets (main_agent, router, monitor, dependencies, chroma_integration).​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=111 path=check_all_web_python.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/check_all_web_python.sh#L1-L111"}​","Use as a manual reference for code verification snippets (not an executable script).​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=111 path=check_all_web_python.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/check_all_web_python.sh#L1-L111"}​"
"2_Sources/2.2_Bash/create_structure.sh","sh","Referenced by init_project.sh as a file to create during project initialization.​:codex-file-citation[codex-file-citation]{line_range_start=190 line_range_end=217 path=8_Scripts/8.1_Init/init_project.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/init_project.sh#L190-L217"}​","Created/managed as part of init_project.sh structure bootstrap.​:codex-file-citation[codex-file-citation]{line_range_start=190 line_range_end=217 path=8_Scripts/8.1_Init/init_project.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/init_project.sh#L190-L217"}​"
"8_Scripts/8.1_Init/create-repo.sh","sh","Documented as a script intended to create Git repositories (noted as needing correction).​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=9 path=1_Documentation/1.2_Technical/structure.md git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/1_Documentation/1.2_Technical/structure.md#L1-L9"}​","Intended usage: create Git repositories (per structure documentation).​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=9 path=1_Documentation/1.2_Technical/structure.md git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/1_Documentation/1.2_Technical/structure.md#L1-L9"}​"
